#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:HBV">
#                    <trait id="dateTrait.t:HBV" spec="beast.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">100.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:HBV" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:HBV" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:HBV" name="clock.rate">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-45455.23989665042	-45465.21793742282	-45455.23989665042	-9.978040772400671	-45455.23989665042	22.651332597113747	11.287706765793498	0.24024675530075926	-2.5275103402106254	0.34469555924175393	0.13665487963457867	0.36025565135209064	0.1583939097715768
1	-45039.67747928428	-45039.89640566839	-45039.67747928428	-0.21892638411502796	-45039.67747928428	21.023105653200854	14.560394840205058	0.28349476112287086	7.903217997360771	0.3080883021835359	0.194880615467901	0.29713374150739197	0.19989734084117106
2	-43875.774415857755	-43903.10913766923	-43875.774415857755	-27.334721811473347	-43875.774415857755	21.26699215781214	13.42361874494471	1.3431060085688262	-17.82847936243205	0.32327641615829417	0.1615108712019796	0.3238887601530641	0.19132395248666215
3	-43755.237547277466	-43798.0376875163	-43755.237547277466	-42.80014023883083	-43755.237547277466	23.84977529042243	6.47659861845575	3.488481727964112	-33.631270070003545	0.28927337002318104	0.17359158220973533	0.3318538086594198	0.20528123910766385
4	-43000.56773660662	-43002.297362379155	-43000.56773660662	-1.7296257725309552	-43000.56773660662	21.1153603677733	5.987140102882552	0.2704599391335234	4.755268177775738	0.3342770435105658	0.1576360270672023	0.3317879130952147	0.1762990163270173
5	-42267.30381194068	-42299.456419893926	-42267.30381194068	-32.15260795324796	-42267.30381194068	21.5507063124552	6.223454163805665	1.9649995362423691	-23.628722937282948	0.35255739800992747	0.1430467160553041	0.3530754857064825	0.15132040022828597
6	-41560.4423082582	-41586.46590883284	-41560.4423082582	-26.023600574642646	-41560.4423082582	21.72247254187355	11.497196040355957	1.2111183372181173	-16.92665209818911	0.33568997238879705	0.15855744208210376	0.3199806515531224	0.18577193397597697
7	-41209.58226276883	-41256.07111515365	-41209.58226276883	-46.488852384822955	-41209.58226276883	25.203224275888406	18.81794409399724	5.039123928272797	-34.91705885785847	0.307938599136842	0.17744646135417594	0.2991049279266189	0.21551001158236305
8	-41139.4362761322	-41173.7965684644	-41139.4362761322	-34.360292332204516	-41139.4362761322	25.13643757825843	0.7517218393723816	2.3799990422248105	-27.44712661637614	0.3507730171114274	0.16779767723076172	0.3616789235541919	0.11975038210361906
9	-41070.744952003486	-41102.98392583386	-41070.744952003486	-32.238973830373666	-41070.744952003486	25.55287815953374	8.15245549590215	1.7216191648137202	-23.411974634376076	0.3390034579386504	0.14956617664931185	0.3610464982683661	0.15038386714367172
10	-40907.81394681516	-40951.43949226253	-40907.81394681516	-43.62554544737526	-40907.81394681516	22.424754830239507	5.314302308168837	3.906839559368102	-34.635539874333055	0.3408939664322541	0.14487686731144905	0.3629839615206473	0.15124520473564956
11	-40860.07399122585	-40904.44554332526	-40860.07399122585	-44.37155209940499	-40860.07399122585	23.227354461919443	8.097012700014663	3.2179620040354897	-34.92196710422836	0.32698191797601267	0.1775964266479225	0.3322196489206886	0.16320200645537639
12	-40853.78051430035	-40900.1787224714	-40853.78051430035	-46.39820817104886	-40853.78051430035	22.03887771016955	49.83820091388456	2.5019303820954772	-33.06137780969382	0.33828444541650887	0.15955961497548943	0.3199806515531224	0.18217528805487945
13	-40517.51366013224	-40578.476472215116	-40517.51366013224	-60.962812082881236	-40517.51366013224	28.406029153316666	49.83820091388456	4.735149235416634	-46.972078382664854	0.3314460903216932	0.17316167829479193	0.3207883547017887	0.1746038766817264
14	-40429.99403980391	-40447.039631370244	-40429.99403980391	-17.045591566331993	-40429.99403980391	21.02332745427771	3.3165860621201495	0.9325689260014176	-10.106166180993593	0.3243972211446022	0.15375957484382882	0.36175672685927174	0.16008647715229735
15	-40380.52678795539	-40427.22988481424	-40380.52678795539	-46.70309685885371	-40380.52678795539	25.947669006003622	48.8346866014019	2.7341517261812265	-33.334148828702155	0.3075575702630723	0.16772422241503762	0.3271127143313344	0.1976054929905558
