#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:HBV">
#                    <trait id="dateTrait.t:HBV" spec="beast.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">100.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ucldStdevPrior.c:HBV" name="distribution">
#            <parameter id="ucldStdev.c:HBV" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:HBV" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:HBV" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:HBV">
#                <LogNormal S="@ucldStdev.c:HBV" id="LogNormalDistributionModel.c:HBV" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.5" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="32" id="rateCategories.c:HBV" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:HBV" name="clock.rate">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
14	-42006.45550183671	-42043.61318400824	-42006.45550183671	-37.15768217152811	-42006.45550183671	25.553601650704177	5.051044821037814	1.4367598623031637	-27.544611010219576	0.7190536349275909	1.5879209543951816E-5	1.7759291332879426E-10	0.8580066173362566	0.18756188957746775	0.22361373153534675	0.24960147473620314	0.33922290415098255
15	-41970.84887259616	-41999.59208463933	-41970.84887259616	-28.74321204317031	-41970.84887259616	22.166221488615676	0.22246865139410893	2.6861352118755026	-23.135098564164903	0.023502139433111302	2.0189730709059516E-5	1.8455764415371703E-13	0.021306308971395443	0.25382452648602777	0.2300841752328662	0.3016922081385262	0.21439909014257993
16	-41523.25758632882	-41556.6343461423	-41523.25758632882	-33.376759813479744	-41523.25758632882	23.38111003298227	1.0109365800254486	1.183079137248809	-27.98160097321439	0.08991965792855347	1.9158342793645972E-5	3.788841082321805E-12	0.09940752624787715	0.2250532916199449	0.22428923220246225	0.2501209319968775	0.30053654418071557
17	-41458.216422931415	-41469.51840583239	-41458.216422931415	-11.30198290097485	-41458.216422931415	22.115559490787483	0.1884915624725519	0.5076090094381706	-6.4499296897181235	0.09186877199274254	1.9702525059105E-5	3.32046480608445E-12	0.09111135666565405	0.24199058298055948	0.23741626587041473	0.28594258763540026	0.2346505635136257
18	-41276.131550374084	-41283.7879633548	-41276.131550374084	-7.656412980717503	-41276.131550374084	21.04613339796476	1.8550387324219755	0.3645256040062879	-3.220874252257733	0.07454392106004738	1.975485201700917E-5	2.398437860969135E-12	0.07757453223854713	0.2510861553449077	0.2702892567526859	0.25162343704391943	0.22700115085848704
19	-41126.66173335476	-41150.51781197492	-41126.66173335506	-23.856078619854113	-41126.66173335506	21.899243675759738	1.5646365304505223	1.6241384547285895	-18.83027126842201	0.01872639627839795	1.9852890652103995E-5	1.5492073070145513E-13	0.01963515778822148	0.24575588416656877	0.24812012408114095	0.2550925075888287	0.2510314841634616
20	-41125.96446750346	-41149.4502095668	-41125.96446750346	-23.485742063341814	-41125.96446750346	21.83669195507869	0.3087775090993354	0.9100155293817894	-21.49356635861877	1.581684807621045E-4	1.9999173101311015E-5	7.203578734591402E-18	1.3420027932820437E-4	0.2165468793277949	0.21285502297220543	0.26556316468690144	0.3050349330130985
21	-41119.593515200206	-41135.83918071446	-41119.593515200206	-16.245665514249474	-41119.593515200206	24.057050602535696	0.3351194267807052	0.9448506816887617	-10.718109086063695	0.1464227546312251	1.895124241108601E-5	5.964994344930366E-12	0.12392338813881008	0.2383547704642722	0.2301547221738572	0.27945115349428606	0.25203935386758475
22	-41044.39741425484	-41078.2711170116	-41044.39741425484	-33.87370275676229	-41044.39741425484	29.590846522492576	1.4671371070215296	2.7060222894419206	-28.62542427166408	0.011266257804289673	1.9980318687319046E-5	3.8932768815798105E-14	0.009883729517607728	0.1804613139364522	0.24004180836293817	0.2471030392202582	0.33239383848035164
23	-40897.409459392125	-40917.82690778666	-40897.409459392125	-20.41744839453365	-40897.409459392125	21.45027204799001	0.892670756888081	0.6692995908269729	-16.351750475529624	0.0269481218859043	2.0076752188626878E-5	2.7371146240113646E-13	0.026214255008651193	0.23645266967328146	0.2208745486166973	0.26778765068864774	0.2748851310213737
24	-40827.49312748766	-40850.04246055609	-40827.49312748766	-22.549333068435892	-40827.49312748766	21.34434282632367	0.8136269616176983	1.042931003535637	-15.038059006731107	0.6289348657252524	1.5199352281466906E-5	1.8871662965796035E-10	0.6680355454144935	0.24050266235733356	0.23611490607344748	0.25837802461178644	0.2650044069574325
25	-40734.18125221179	-40734.85621385503	-40734.18125221179	-0.6749616432439236	-40734.18125221179	21.191654712101542	0.720704434662812	0.26985058788014105	1.9763182759997298	0.01077677667450715	1.9977151764193117E-5	6.914402045797686E-14	0.01314987556701103	0.23009520379938475	0.24291160543818796	0.2668145795329692	0.2601786112294583
26	-40610.518986570896	-40626.55540890188	-40610.518986570896	-16.036422330983445	-40610.518986570896	22.35700452873381	0.3248006533691382	0.5878685221460863	-12.50800518422239	0.011219405999537017	2.0059298698050325E-5	4.3139117544634675E-14	0.010375377453114717	0.23148135313342194	0.21389982363273088	0.2629326270546549	0.2916861961791925
27	-40473.83581963031	-40484.16209106385	-40473.83581963031	-10.326271433545735	-40473.83581963031	21.127334428243625	0.8153145319528795	0.5974788940976922	-6.690938491662369	0.015216498306516314	1.9961424128331208E-5	1.0012433953560221E-13	0.015898126679253898	0.24575588416656877	0.24809591683709636	0.25511671483287324	0.2510314841634616
28	-40360.50556941399	-40387.29666262716	-40360.50556941399	-26.79109321316929	-40360.50556941399	21.098596800879694	2.710345581087117	1.8264710365528376	-21.011137568663248	0.026694814068742904	1.9811333791391466E-5	2.5194511503343284E-13	0.025180259517964095	0.2510861553449077	0.2617998017389205	0.26011289205768484	0.22700115085848704
29	-40344.42157338899	-40374.40084036818	-40344.42157338899	-29.97926697919466	-40344.42157338899	22.96081550465571	0.2208613545511503	1.354033263429999	-22.9380113574217	0.3555688470520048	1.9188469717673035E-5	6.236302590455423E-11	0.37517710800217574	0.24718761923173016	0.23612268273535522	0.28462052696809037	0.23206917106482436
30	-40316.267443681136	-40345.5578703874	-40316.267443681136	-29.290426706264125	-40316.267443681136	23.81616622048031	0.6789065425112701	1.3862104218934332	-23.22562040535149	0.1899281679010959	1.9147416167825202E-5	1.905944744156063E-11	0.2291619133751044	0.23050574546811614	0.24961976062165575	0.252458274937593	0.26741621897263534
31	-40240.3670577314	-40266.39305539438	-40240.3670577314	-26.02599766298242	-40240.3670577314	23.123611362543027	1.1731151764708103	1.5712748257115778	-20.15506878761567	0.10764888047620269	1.999440690786181E-5	4.022679247306404E-12	0.10084768067052999	0.23453546857724006	0.23155072764756202	0.27272883160308126	0.2611849721721167
32	-40201.958326538224	-40237.11218941069	-40201.958326538224	-35.15386287246711	-40201.958326538224	23.345804311077796	1.408683754282723	2.4282945011762025	-28.92356980045084	0.08408438005757034	2.0242177528166752E-5	1.7993737681977988E-12	0.06630469813595925	0.21139168762787516	0.22783575624052133	0.2484511255957262	0.3123214305358775
33	-40025.51438749603	-40056.83747186742	-40025.51438749603	-31.323084371392724	-40025.51438749603	21.57037843731602	2.2847775885679567	1.6245652163805768	-26.249196563519256	0.011513547977064203	1.995386747487885E-5	7.02478748402696E-14	0.013307125692014053	0.1906742377809248	0.2148371678434961	0.25576341808198083	0.33872517629359844
34	-39984.160108620345	-40037.17147284275	-39984.160108620345	-53.01136422240077	-39984.160108620345	34.97003866438207	1.7056663293727432	5.169660614818593	-44.31254457378287	0.4067128127484793	2.1097539898537977E-5	5.428694339283422E-11	0.3539762184785556	0.24113213050376187	0.2072045008118732	0.23370739415256764	0.3179559745317976
35	-39854.42295841078	-39878.763641179314	-39854.42295841078	-24.340682768528662	-39854.42295841078	21.84380247921925	9.318224464322391	1.2376929378109387	-18.03894968491748	0.005219195471397177	1.9994269702743556E-5	8.738163206818619E-15	0.0046751662632616405	0.26063897441695794	0.22630239691664084	0.2796079030371151	0.23345072562928634
36	-39676.23460095389	-39709.393586707505	-39676.23460095389	-33.15898575361464	-39676.23460095389	22.19492320250574	0.49354189067468085	2.080016676141894	-28.02349735216052	0.02649575680843469	1.9975697903265927E-5	1.353940222720707E-13	0.01837759341040447	0.2250532916199449	0.2208745486166973	0.25747972121396345	0.29659243854939454
37	-39632.27287204487	-39664.318647702035	-39632.27287204487	-32.04577565715963	-39632.27287204487	21.515251137803762	1.5976417534140885	1.5031165385770673	-27.561751861142902	0.007091282932168506	1.9979400581952242E-5	2.6615104249206533E-14	0.008161627023018316	0.17288368763158243	0.22744672208544872	0.25380679947708584	0.3458627908058832
38	-39606.115776102364	-39653.75479679001	-39606.115776102364	-47.63902068764704	-39606.115776102364	26.79240923786404	3.6557139209874134	5.240242026051218	-36.26108819554125	0.9923213782344373	2.517764946919144E-5	4.867979225347053E-10	0.9476585149926418	0.23280229984416131	0.2200740121863784	0.23960221335015322	0.30752147461930723
