#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:HBV">
#                    <trait id="dateTrait.t:HBV" spec="beast.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">100.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ucldStdevPrior.c:HBV" name="distribution">
#            <parameter id="ucldStdev.c:HBV" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:HBV" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:HBV" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:HBV">
#                <LogNormal S="@ucldStdev.c:HBV" id="LogNormalDistributionModel.c:HBV" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.5" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="32" id="rateCategories.c:HBV" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:HBV" name="clock.rate">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
16000	-12478.427110881117	-12300.174963900858	-178.25214698025962	-12300.174963900858	2023.8371563491107	2.712403431277891	1767.7520286864449	-144.16044869784838	0.8805498470444288	3.770960195471207E-5	8.857077198352403E-10	0.6080454312730041	0.2566784131236033	0.25	0.23676623339394548	0.2565553534824512
17000	-12472.178853132755	-12297.371284654586	-174.80756847816852	-12297.371284654586	1847.3495852205297	2.712403431277891	1183.5474824854398	-146.8832622124084	0.9034659182405852	4.009372001941379E-5	9.675577906106632E-10	0.6365189837938978	0.2590145948919578	0.2527007702840132	0.23172928134157783	0.2565553534824512
18000	-12480.322382732045	-12304.869964179605	-175.45241855243972	-12304.869964179605	1844.1587314734247	2.712403431277891	1466.8123638090826	-144.67548466955893	0.8422957026823182	4.01092381446647E-5	7.035074613802519E-10	0.5787041124297525	0.2590145948919578	0.2527007702840132	0.23172928134157783	0.2565553534824512
19000	-12475.126711339148	-12299.51620214761	-175.61050919153735	-12299.51620214761	1858.7554726280914	2.5112591174046406	1549.687380637218	-144.07385392242804	0.8270291618914941	3.787198227339028E-5	6.811363386218671E-10	0.5806824263551595	0.2590145948919578	0.24690100059144693	0.23172928134157783	0.26235512317501747
20000	-12476.402852375282	-12298.068052046992	-178.33480032828908	-12298.068052046992	2257.412083120289	2.5112591174046406	1067.1552332086692	-151.72046877368714	0.913537627763358	3.639130267303004E-5	9.895966961607632E-10	0.6749317405993218	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
21000	-12472.569123436817	-12292.47103730345	-180.09808613336577	-12292.47103730345	2381.6047544109306	2.5112591174046406	1093.8637020808771	-153.19508134574156	0.9126140980931807	3.4205901462007785E-5	1.0994726849182355E-9	0.7067152368238806	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
22000	-12482.915551141292	-12300.614425523636	-182.30112561765537	-12300.614425523636	3156.183869165231	2.5112591174046406	1839.8920744836857	-147.44400584278213	0.9059066598210109	2.984748817430503E-5	9.48238968882808E-10	0.7182423057609526	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
23000	-12475.646734498769	-12298.344945124543	-177.30178937422477	-12298.344945124543	2476.735378229897	2.5112591174046406	1448.5502872517482	-146.59483969539448	0.9059066598210109	3.4672429066718464E-5	9.544625954381397E-10	0.6629110508321413	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
24000	-12475.282573972967	-12296.463662529488	-178.81891144347856	-12296.463662529488	2558.278858469945	2.5112591174046406	1359.181907765671	-149.18113600927288	0.8700616689339044	3.3017268622727204E-5	8.421700245250947E-10	0.652676602863714	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
25000	-12477.307878413727	-12299.419163153545	-177.88871526018164	-12299.419163153545	2557.4661824494615	2.5112591174046406	1459.8113775915824	-147.21199578842308	0.8579840976483268	3.2253533180409834E-5	7.75417399907142E-10	0.6319094434522348	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
26000	-12475.49473845719	-12296.327024508171	-179.16771394901818	-12296.327024508171	2820.146392732756	2.567322206312069	1524.4670589585282	-147.99485984683548	0.7904937211449753	3.0123708578363833E-5	6.737525052146836E-10	0.648234464761655	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
27000	-12475.786155487438	-12296.46136988074	-179.3247856066979	-12296.46136988074	2738.592601729139	2.567322206312069	1346.9693777228301	-150.2909806504404	0.7157263855719692	3.068055748908713E-5	4.240537566563491E-10	0.5330100179900419	0.2562333068681922	0.24968228861521252	0.23172928134157783	0.26235512317501747
28000	-12484.814742905852	-12303.028443903433	-181.7862990024193	-12303.028443903433	2957.5813597687966	2.567322206312069	1473.5357212323881	-151.4125964127813	0.7112299624958643	2.9984328923896647E-5	5.396657014951593E-10	0.6078907262817703	0.2518641268364947	0.24968228861521252	0.23172928134157783	0.266724303206715
29000	-12476.841946534601	-12294.371173657617	-182.47077287698443	-12294.371173657617	3259.362243812095	2.567322206312069	1733.7941518281	-149.59270646689308	0.632776143104374	2.733134672559604E-5	3.9812271800288195E-10	0.5655942051018804	0.2518641268364947	0.24968228861521252	0.23172928134157783	0.266724303206715
30000	-12475.773858942855	-12291.804495331558	-183.96936361129687	-12291.804495331558	3272.0966565636068	2.567322206312069	2145.551121876805	-146.7545043649716	0.6352486496776919	2.902226530268651E-5	3.326989817773928E-10	0.5042759578074855	0.2518641268364947	0.24968228861521252	0.22616884044157953	0.2722847441067133
31000	-12481.66267756831	-12299.995171090732	-181.6675064775785	-12299.995171090732	3353.489735036038	2.567322206312069	1449.71385005696	-152.03991353479833	0.5641601948664778	2.7193247504792667E-5	3.345689393328437E-10	0.5383117416447938	0.2517269741857327	0.24968228861521252	0.22616884044157953	0.27242189675747525
32000	-12478.444421873133	-12295.455933653191	-182.98848821994173	-12295.455933653191	3459.6686943285986	2.567322206312069	1638.3687455756406	-151.2845488386541	0.584241583618106	2.6903900884982427E-5	3.014470430865469E-10	0.5069066115431593	0.2517269741857327	0.24968228861521252	0.22339931175785288	0.2751914254412019
33000	-12474.617148907537	-12290.32894948918	-184.28819941835678	-12290.32894948918	3143.918487480376	2.567322206312069	1450.160808174218	-154.48892524676205	0.6132358311738437	2.7837793606365897E-5	2.3939765352087106E-10	0.4676070052438087	0.2517269741857327	0.24968228861521252	0.22339931175785288	0.2751914254412019
34000	-12484.285185848617	-12300.405055545152	-183.88013030346434	-12300.405055545152	3308.004083515595	2.567322206312069	1633.1910965833165	-151.86007158300396	0.6953309647404758	2.7822355149959252E-5	3.196665235287656E-10	0.5138775634941062	0.2517269741857327	0.24968228861521252	0.22339931175785288	0.2751914254412019
35000	-12477.154028046612	-12291.994255158948	-185.15977288766464	-12291.994255158948	3391.4012343434347	2.567322206312069	1612.2463389276782	-153.56973768608466	0.6325979677061229	2.5731988350081496E-5	3.092397217642757E-10	0.5217190291071405	0.2517269741857327	0.24968228861521252	0.22339931175785288	0.2751914254412019
36000	-12486.24986577511	-12297.922706905449	-188.32715886966037	-12297.922706905449	3021.116918552446	2.567322206312069	2034.6102363496175	-152.4933300777201	0.5704934780700279	2.6031043249478887E-5	1.799394237143944E-10	0.4535415975699443	0.2517269741857327	0.24968228861521252	0.22339931175785288	0.2751914254412019
37000	-12489.976541581802	-12303.94230788051	-186.03423370129156	-12303.94230788051	3039.3543767016026	2.567322206312069	1694.5944955912635	-153.69025681304524	0.5973013677986135	2.668169439842876E-5	2.324322478457946E-10	0.4994093169739336	0.24268866402112543	0.24968228861521252	0.22339931175785288	0.28422973560580916
38000	-12489.718331478987	-12301.974102686007	-187.7442287929807	-12301.974102686007	2951.428523219972	2.567322206312069	1590.3779819305767	-156.7540294099661	0.5249849136243526	2.5729444237018276E-5	1.7068948726068204E-10	0.4363042457346961	0.24268866402112543	0.24968228861521252	0.22339931175785288	0.28422973560580916
39000	-12491.57279186136	-12301.85428017949	-189.71851168186848	-12301.85428017949	2727.308704972733	2.567322206312069	2215.830131103262	-152.30039629525845	0.4811442057471995	2.593719105227701E-5	1.2572396100008392E-10	0.4029025537811223	0.24268866402112543	0.24968228861521252	0.22473831464371638	0.2828907327199457
40000	-12483.754635969279	-12293.619649739048	-190.1349862302308	-12293.619649739048	3033.9503103900897	2.567322206312069	1885.2364748075954	-156.3006503259301	0.448483688636545	2.5118083652742715E-5	1.1173152878315289E-10	0.38338357090666647	0.24666792540988258	0.24968228861521252	0.22075905325495923	0.2828907327199457
41000	-12478.107285996619	-12288.334029607513	-189.773256389105	-12288.334029607513	2991.848010251727	2.567322206312069	1670.5814529299446	-158.08200694914063	0.482613645277031	2.432032319709502E-5	1.2707949348982107E-10	0.42155167051272907	0.24666792540988258	0.255455435971213	0.22075905325495923	0.2771175853639452
42000	-12478.813627443065	-12288.211671707844	-190.60195573522142	-12288.211671707844	3013.6739585595446	2.567322206312069	2075.683862582261	-154.6269428206853	0.4876007006887268	2.3621764510405018E-5	1.3385055001004942E-10	0.4406551876252872	0.24666792540988258	0.255455435971213	0.22075905325495923	0.2771175853639452
